Year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_location,employee_residence,% Remote_work,company_size
2023,Data Scientist,Mid/Intermediate,Full-time,60000,GBP,73824,GB,GB,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,45000,GBP,55368,GB,GB,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,370000,USD,370000,US,US,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,200000,USD,200000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,275300,USD,275300,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,183500,USD,183500,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,230000,USD,230000,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,196000,USD,196000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,253000,USD,253000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,172040,USD,172040,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,234000,USD,234000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,178000,USD,178000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,164000,USD,164000,US,US,100,Medium
2023,Business Intelligence Specialist,Mid/Intermediate,Full-time,109238,USD,109238,US,US,0,Medium
2023,Business Intelligence Specialist,Mid/Intermediate,Full-time,68274,USD,68274,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,53000,EUR,57223,FR,FR,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,48000,EUR,51824,FR,FR,100,Medium
2023,Data Analyst,Entry/Junior,Full-time,80800,USD,80800,US,US,0,Medium
2023,Data Analyst,Entry/Junior,Full-time,53800,USD,53800,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,258900,USD,258900,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,176080,USD,176080,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,57500,GBP,70748,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,54500,GBP,67056,GB,GB,0,Medium
2023,Business Intelligence Analyst,Mid/Intermediate,Full-time,120000,USD,120000,US,US,100,Medium
2023,Business Intelligence Analyst,Mid/Intermediate,Full-time,110000,USD,110000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,309000,USD,309000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,142000,USD,142000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,201650,USD,201650,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,124600,USD,124600,US,US,0,Medium
2023,Data Quality Analyst,Mid/Intermediate,Full-time,65000,USD,65000,US,US,100,Medium
2023,Data Quality Analyst,Mid/Intermediate,Full-time,60000,USD,60000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,132100,USD,132100,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,68400,USD,68400,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,145000,USD,145000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,110000,USD,110000,US,US,0,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,160000,USD,160000,US,US,100,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,140000,USD,140000,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,87500,USD,87500,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,62500,USD,62500,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,142000,USD,142000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,128000,USD,128000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,160000,USD,160000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,155000,USD,155000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,139500,USD,139500,US,US,0,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,202800,USD,202800,US,US,0,Large
2023,Business Intelligence Engineer,Senior/Expert,Full-time,104300,USD,104300,US,US,0,Large
2023,Machine Learning Engineer,Senior/Expert,Full-time,221000,USD,221000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,129000,USD,129000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,259000,USD,259000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,138750,USD,138750,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,120000,USD,120000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,100000,USD,100000,US,US,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,155000,USD,155000,US,US,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,130000,USD,130000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,247300,USD,247300,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,139700,USD,139700,US,US,0,Medium
2023,Applied Scientist,Senior/Expert,Full-time,215000,USD,215000,US,US,0,Medium
2023,Applied Scientist,Senior/Expert,Full-time,182750,USD,182750,US,US,0,Medium
2023,Research Scientist,Senior/Expert,Full-time,248100,USD,248100,US,US,0,Medium
2023,Research Scientist,Senior/Expert,Full-time,145900,USD,145900,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,207000,USD,207000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,141000,USD,141000,US,US,100,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,90000,USD,90000,US,US,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,55000,USD,55000,US,US,0,Medium
2023,Machine Learning Engineer,Entry/Junior,Full-time,36000,USD,36000,US,UG,100,Medium
2023,Research Engineer,Mid/Intermediate,Full-time,300000,USD,300000,US,US,0,Medium
2023,Research Engineer,Mid/Intermediate,Full-time,100000,USD,100000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,116700,USD,116700,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,93400,USD,93400,US,US,0,Medium
2023,Data Analyst,Entry/Junior,Full-time,80000,USD,80000,US,US,0,Medium
2023,Data Analyst,Entry/Junior,Full-time,50000,USD,50000,US,US,0,Medium
2023,Applied Scientist,Mid/Intermediate,Full-time,179000,USD,179000,US,US,0,Medium
2023,Applied Scientist,Mid/Intermediate,Full-time,176490,USD,176490,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,195000,USD,195000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,143750,USD,143750,US,US,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,180000,USD,180000,US,US,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,162000,USD,162000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,199000,USD,199000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,196760,USD,196760,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,90000,USD,90000,CO,CO,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,70000,USD,70000,CO,CO,0,Medium
2023,ML Engineer,Senior/Expert,Full-time,324000,USD,324000,US,US,0,Medium
2023,ML Engineer,Senior/Expert,Full-time,159000,USD,159000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,222000,USD,222000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,159000,USD,159000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,175000,USD,175000,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,150000,USD,150000,US,US,100,Medium
2023,AI Developer,Entry/Junior,Full-time,50000,USD,50000,UA,UA,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,65000,EUR,70179,US,IT,100,Large
2023,BI Developer,Mid/Intermediate,Full-time,110000,USD,110000,US,US,0,Medium
2023,BI Developer,Mid/Intermediate,Full-time,75000,USD,75000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,43000,EUR,46426,SI,SI,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,36000,EUR,38868,SI,SI,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,220000,USD,220000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,80000,USD,80000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,167500,USD,167500,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,106500,USD,106500,US,US,0,Medium
2023,Research Scientist,Mid/Intermediate,Full-time,150000,USD,150000,US,US,0,Medium
2023,Research Scientist,Mid/Intermediate,Full-time,130000,USD,130000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,150000,USD,150000,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,126500,USD,126500,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,78000,USD,78000,US,US,100,Medium
2023,AI Programmer,Entry/Junior,Full-time,4950806,INR,60207,IN,IN,0,Small
